,ASVs,Kingdom,Phylum,Class,Order,Family,Genus,Taxonomy
ASV_1913,ASV_1913,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Spirosoma,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma
ASV_1915,ASV_1915,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium
ASV_1916,ASV_1916,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__Micropepsis,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Micropepsis
ASV_1917,ASV_1917,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__NA
ASV_1918,ASV_1918,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,o__Telmatobacter,f__NA,g__NA,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Telmatobacter;f__NA;g__NA
ASV_1919,ASV_1919,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter
ASV_1920,ASV_1920,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
ASV_1921,ASV_1921,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto
ASV_1924,ASV_1924,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas
ASV_1925,ASV_1925,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia
ASV_1928,ASV_1928,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter
ASV_1929,ASV_1929,k__Bacteria,p__Proteobacteria,c__NA,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__NA;o__NA;f__NA;g__NA
ASV_1934,ASV_1934,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Isosphaeraceae,g__Aquisphaera,k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Isosphaeraceae;g__Aquisphaera
ASV_1935,ASV_1935,k__Bacteria,p__Proteobacteria,c__Oligoflexia,o__Oligoflexales,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Oligoflexales;f__NA;g__NA
ASV_1936,ASV_1936,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_1937,ASV_1937,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter
ASV_1939,ASV_1939,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_1941,ASV_1941,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Conexibacteraceae,g__Conexibacter,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter
ASV_1942,ASV_1942,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Caballeronia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia
ASV_1943,ASV_1943,k__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,k__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium
ASV_1945,ASV_1945,k__Bacteria,p__Chloroflexi,c__NA,o__NA,f__NA,g__NA,k__Bacteria;p__Chloroflexi;c__NA;o__NA;f__NA;g__NA
ASV_1949,ASV_1949,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__NA;f__NA;g__NA
ASV_1950,ASV_1950,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__NA
ASV_1951,ASV_1951,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__NA
ASV_1952,ASV_1952,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia
ASV_1953,ASV_1953,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_1954,ASV_1954,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Spirosoma,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma
ASV_1955,ASV_1955,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Dyadobacter,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter
ASV_1956,ASV_1956,k__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Blastocatella,k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella
ASV_1957,ASV_1957,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter
ASV_1958,ASV_1958,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_2,g__Tuberibacillus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_2;g__Tuberibacillus
ASV_1959,ASV_1959,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides
ASV_1963,ASV_1963,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
ASV_1970,ASV_1970,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__NA
ASV_1971,ASV_1971,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium
ASV_1974,ASV_1974,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__NA;f__NA;g__NA
ASV_1975,ASV_1975,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,o__Granulicella,f__NA,g__NA,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Granulicella;f__NA;g__NA
ASV_1976,ASV_1976,k__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Stenotrophobacter,k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter
ASV_1978,ASV_1978,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Kineococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus
ASV_1979,ASV_1979,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Isosphaeraceae,g__Tundrisphaera,k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Isosphaeraceae;g__Tundrisphaera
ASV_1980,ASV_1980,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Roseisolibacter,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter
ASV_1981,ASV_1981,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aquamicrobium,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Aquamicrobium
ASV_1982,ASV_1982,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium
ASV_1983,ASV_1983,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola
ASV_1984,ASV_1984,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas
ASV_1988,ASV_1988,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_1989,ASV_1989,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus
ASV_1990,ASV_1990,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__NA
ASV_1992,ASV_1992,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__NA;f__NA;g__NA
ASV_1993,ASV_1993,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Labilitrichaceae,g__Labilithrix,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Labilitrichaceae;g__Labilithrix
ASV_1995,ASV_1995,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Isosphaeraceae,g__Tundrisphaera,k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Isosphaeraceae;g__Tundrisphaera
ASV_1997,ASV_1997,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,o__Granulicella,f__NA,g__NA,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Granulicella;f__NA;g__NA
ASV_1998,ASV_1998,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Novosphingobium,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Novosphingobium
ASV_1999,ASV_1999,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter
ASV_2001,ASV_2001,k__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Aridibacter,k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter
ASV_2002,ASV_2002,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Terrisporobacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter
ASV_2003,ASV_2003,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Geodermatophilus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Geodermatophilus
ASV_2004,ASV_2004,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_1,g__Bacillus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Bacillus
ASV_2005,ASV_2005,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Vampirovibrio,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Vampirovibrio
ASV_2006,ASV_2006,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter
ASV_2007,ASV_2007,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acidisoma,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma
ASV_2008,ASV_2008,k__Bacteria,p__Proteobacteria,c__NA,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__NA;o__NA;f__NA;g__NA
ASV_2009,ASV_2009,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Novosphingobium,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Novosphingobium
ASV_2010,ASV_2010,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Ilyomonas,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ilyomonas
ASV_2011,ASV_2011,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Spirosoma,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma
ASV_2012,ASV_2012,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Conexibacteraceae,g__Conexibacter,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter
ASV_2013,ASV_2013,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__NA;f__NA;g__NA
ASV_2017,ASV_2017,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__NA;f__NA;g__NA
ASV_2018,ASV_2018,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto
ASV_2020,ASV_2020,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter
ASV_2023,ASV_2023,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Jatrophihabitans,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans
ASV_2031,ASV_2031,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Quadrisphaera,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Quadrisphaera
ASV_2032,ASV_2032,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
ASV_2033,ASV_2033,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
ASV_2034,ASV_2034,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NA;f__NA;g__NA
ASV_2036,ASV_2036,k__Bacteria,p__Armatimonadetes,c__Armatimonadetes_gp5,o__NA,f__NA,g__NA,k__Bacteria;p__Armatimonadetes;c__Armatimonadetes_gp5;o__NA;f__NA;g__NA
ASV_2037,ASV_2037,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Alkanindiges,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges
ASV_2039,ASV_2039,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__NA;g__NA
ASV_2040,ASV_2040,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas
ASV_2041,ASV_2041,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__NA;g__NA
ASV_2042,ASV_2042,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__NA,g__NA,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__NA;g__NA
ASV_2043,ASV_2043,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Aeromicrobium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium
ASV_2044,ASV_2044,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Mycobacteriales,f__Corynebacteriaceae,g__Corynebacterium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Mycobacteriales;f__Corynebacteriaceae;g__Corynebacterium
ASV_2046,ASV_2046,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter
ASV_2048,ASV_2048,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__NA;f__NA;g__NA
ASV_2049,ASV_2049,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio
ASV_2051,ASV_2051,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nakamurellales,f__Nakamurellaceae,g__Nakamurella,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nakamurellales;f__Nakamurellaceae;g__Nakamurella
ASV_2052,ASV_2052,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter
ASV_2054,ASV_2054,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Isosphaeraceae,g__NA,k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Isosphaeraceae;g__NA
ASV_2056,ASV_2056,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__NA;g__NA
ASV_2057,ASV_2057,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__NA,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NA
ASV_2058,ASV_2058,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gillisia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia
ASV_2059,ASV_2059,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Baekduiaceae,g__Baekduia,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Baekduiaceae;g__Baekduia
ASV_2060,ASV_2060,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Sporacetigenium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Sporacetigenium
ASV_2061,ASV_2061,k__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Sphaerobacterales,f__Sphaerobacteraceae,g__Nitrolancea,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__Sphaerobacteraceae;g__Nitrolancea
ASV_2062,ASV_2062,k__Bacteria,p__Proteobacteria,c__NA,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__NA;o__NA;f__NA;g__NA
ASV_2065,ASV_2065,k__Bacteria,p__Proteobacteria,c__NA,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__NA;o__NA;f__NA;g__NA
ASV_2067,ASV_2067,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA
ASV_2070,ASV_2070,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Kineococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus
ASV_2071,ASV_2071,k__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,k__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium
ASV_2072,ASV_2072,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Fervidicella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Fervidicella
ASV_2076,ASV_2076,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_2083,ASV_2083,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Ilyomonas,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ilyomonas
ASV_2085,ASV_2085,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__NA;f__NA;g__NA
ASV_2086,ASV_2086,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter
ASV_2090,ASV_2090,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__NA,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__NA;g__NA
ASV_2091,ASV_2091,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium
