,ASVs,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomy
ASV_1,ASV_1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Microsphaeropsis,s__spartii-juncei,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Microsphaeropsis;s__spartii-juncei
ASV_2,ASV_2,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_3,ASV_3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Perusta,s__inaequalis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__inaequalis
ASV_4,ASV_4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Hormonema,s__macrosporum,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Hormonema;s__macrosporum
ASV_5,ASV_5,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Phaeotremellaceae,g__Gelidatrema,s__spencermartinsiae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Phaeotremellaceae;g__Gelidatrema;s__spencermartinsiae
ASV_6,ASV_6,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__carpini,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__carpini
ASV_7,ASV_7,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_8,ASV_8,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_9,ASV_9,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_10,ASV_10,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Perusta,s__inaequalis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__inaequalis
ASV_11,ASV_11,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;NA
ASV_12,ASV_12,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__dendrobii,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__dendrobii
ASV_13,ASV_13,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Sarcinomyces,s__crustaceus,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Sarcinomyces;s__crustaceus
ASV_14,ASV_14,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnellula,s__fuscosanguinea,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula;s__fuscosanguinea
ASV_15,ASV_15,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;NA;NA;NA
ASV_17,ASV_17,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__victoriae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__victoriae
ASV_18,ASV_18,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;NA
ASV_19,ASV_19,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Articulospora,NA,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;NA
ASV_20,ASV_20,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,s__hasegawianum,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__hasegawianum
ASV_22,ASV_22,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;NA;NA
ASV_23,ASV_23,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,NA,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia;NA
ASV_24,ASV_24,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,NA,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;NA
ASV_25,ASV_25,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__carpini,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__carpini
ASV_26,ASV_26,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Genolevuria,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria;NA
ASV_28,ASV_28,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_29,ASV_29,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_30,ASV_30,k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;NA;NA;NA;NA
ASV_32,ASV_32,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
ASV_33,ASV_33,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;NA
ASV_35,ASV_35,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Sclerostagonospora,s__rosicola,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora;s__rosicola
ASV_36,ASV_36,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_37,ASV_37,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,NA,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;NA
ASV_38,ASV_38,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Sarcinomyces,s__crustaceus,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Sarcinomyces;s__crustaceus
ASV_40,ASV_40,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;NA;NA;NA
ASV_41,ASV_41,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,NA,k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces;NA
ASV_42,ASV_42,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
ASV_44,ASV_44,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_45,ASV_45,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;NA;NA
ASV_46,ASV_46,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__delicatulum,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__delicatulum
ASV_47,ASV_47,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Genolevuria,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria;NA
ASV_48,ASV_48,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__victoriae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__victoriae
ASV_49,ASV_49,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudocamarosporium,s__propinquum,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudocamarosporium;s__propinquum
ASV_50,ASV_50,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Lecanoraceae,g__Scoliciosporum,s__umbrinum,k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Scoliciosporum;s__umbrinum
ASV_51,ASV_51,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_53,ASV_53,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryomycetes_ord_Incertae_sedis,f__Microbotryomycetes_fam_Incertae_sedis,g__Curvibasidium,s__pallidicorallinum,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Microbotryomycetes_fam_Incertae_sedis;g__Curvibasidium;s__pallidicorallinum
ASV_54,ASV_54,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Libertasomyces,s__myopori,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Libertasomyces;s__myopori
ASV_55,ASV_55,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodosporidiobolus,s__colostri,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodosporidiobolus;s__colostri
ASV_56,ASV_56,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Protomycetaceae,g__Protomyces,NA,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Protomycetaceae;g__Protomyces;NA
ASV_57,ASV_57,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__victoriae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__victoriae
ASV_58,ASV_58,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;NA;NA;NA
ASV_59,ASV_59,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidiales,f__Mytilinidiaceae,g__Lophium,s__arboricola,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidiales;f__Mytilinidiaceae;g__Lophium;s__arboricola
ASV_60,ASV_60,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;NA;NA
ASV_61,ASV_61,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Buckleyzymaceae,g__Buckleyzyma,s__phyllomatis,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Buckleyzymaceae;g__Buckleyzyma;s__phyllomatis
ASV_62,ASV_62,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Coniothyriaceae,g__Hazslinszkyomyces,s__aloes,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces;s__aloes
ASV_63,ASV_63,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Phaeotremellaceae,g__Phaeotremella,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Phaeotremellaceae;g__Phaeotremella;NA
ASV_64,ASV_64,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,g__Neocatenulostroma,s__abietis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Neocatenulostroma;s__abietis
ASV_65,ASV_65,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudopithomyces,s__rosae,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces;s__rosae
ASV_66,ASV_66,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,NA,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;NA
ASV_67,ASV_67,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__foliicola,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__foliicola
ASV_68,ASV_68,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,NA,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Cystobasidium;NA
ASV_69,ASV_69,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,NA,k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces;NA
ASV_70,ASV_70,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;NA;NA
ASV_71,ASV_71,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_72,ASV_72,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_73,ASV_73,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;NA
ASV_74,ASV_74,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormiella,s__intermedia,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiella;s__intermedia
ASV_75,ASV_75,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Buckleyzymaceae,g__Buckleyzyma,s__aurantiaca,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Buckleyzymaceae;g__Buckleyzyma;s__aurantiaca
ASV_76,ASV_76,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;NA;NA;NA
ASV_77,ASV_77,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,NA,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;NA
ASV_79,ASV_79,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,s__foliicola,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__foliicola
ASV_80,ASV_80,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;NA;NA;NA
ASV_81,ASV_81,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_82,ASV_82,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Thelebolaceae,g__Thelebolus,s__spongiae,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Thelebolaceae;g__Thelebolus;s__spongiae
ASV_83,ASV_83,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Rhynchogastremataceae,g__Papiliotrema,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;NA
ASV_84,ASV_84,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,g__Lapidomyces,s__hispanicus,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Lapidomyces;s__hispanicus
ASV_85,ASV_85,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;NA;NA
ASV_86,ASV_86,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
ASV_87,ASV_87,k__Fungi,p__Ascomycota,c__Lecanoromycetes,NA,NA,NA,NA,k__Fungi;p__Ascomycota;c__Lecanoromycetes;NA;NA;NA;NA
ASV_88,ASV_88,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Fonsecazyma,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Fonsecazyma;NA
ASV_89,ASV_89,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Protomycetaceae,g__Protomyces,s__inouyei,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Protomycetaceae;g__Protomyces;s__inouyei
ASV_90,ASV_90,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_91,ASV_91,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_92,ASV_92,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__capitatum,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__capitatum
ASV_93,ASV_93,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_95,ASV_95,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Heterocephalacria,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Heterocephalacria;NA
ASV_96,ASV_96,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__pinicola,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Cystobasidium;s__pinicola
ASV_97,ASV_97,k__Fungi,p__Ascomycota,c__Eurotiomycetes,NA,NA,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;NA;NA;NA;NA
ASV_98,ASV_98,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_99,ASV_99,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;NA
ASV_100,ASV_100,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;NA;NA;NA
ASV_102,ASV_102,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;NA;NA;NA
ASV_103,ASV_103,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;NA;NA;NA
ASV_104,ASV_104,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;NA;NA;NA
ASV_105,ASV_105,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Phaeotremellaceae,g__Gelidatrema,s__spencermartinsiae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Phaeotremellaceae;g__Gelidatrema;s__spencermartinsiae
ASV_106,ASV_106,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,NA,NA,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;NA;NA
ASV_107,ASV_107,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Pleurophoma,s__ossicola,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Pleurophoma;s__ossicola
ASV_108,ASV_108,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_109,ASV_109,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,s__oryzicola,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__oryzicola
ASV_110,ASV_110,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Capnodiales_fam_Incertae_sedis,g__Phaeotheca,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca;NA
ASV_111,ASV_111,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__tassiana
ASV_112,ASV_112,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;NA
ASV_113,ASV_113,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Coryneliales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Coryneliales;NA;NA;NA
ASV_115,ASV_115,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;NA;NA
ASV_116,ASV_116,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_117,ASV_117,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__victoriae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__victoriae
ASV_118,ASV_118,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,NA,NA,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;NA;NA
ASV_119,ASV_119,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_120,ASV_120,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__carnescens,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__carnescens
